system:index,MNDWI,NBR,NDMI,NDVI,block_id,blue,class_numeric,dist_to_water,elev_rel_lake,green,nir,red,reserve_id,slope,swir1,swir2,.geo
17184,0.68316406,0.5913412,0.5228564,0.18662152,8.53303984E8,0.03626625,1.0,0.0,1.7053026E-13,0.03736625,0.0246475,0.01511875,5,0.0,0.006415,0.0053975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.915635220272001,46.90846012250333]}"
17185,0.6125783,0.67277724,0.4987611,0.3675653,8.53303984E8,0.03524875,1.0,0.0,1.7053026E-13,0.03513875,0.02466125,0.0098525,5,0.0,0.00854625,0.0048475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.91602898246857,46.90846192519541]}"
17186,0.7652128,0.62437797,0.6949198,0.23523542,8.53403984E8,0.033255,1.0,0.0,1.7053026E-13,0.03489125,0.02466125,0.01544875,5,0.0,0.0047375,0.005205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.916422744691582,46.908463726532254]}"
17187,0.723468,0.59429336,0.61730736,0.21865982,8.53403984E8,0.0326775,1.0,0.0,1.7053026E-13,0.0371325,0.02210375,0.01494,5,0.0,0.00359625,0.005205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.916816506940984,46.90846552651383]}"
17188,0.77278084,0.6182268,0.6617305,0.17905869,8.53403984E8,0.03139875,1.0,0.0,1.7053026E-13,0.0371325,0.02210375,0.015765,5,0.0,0.00356875,0.005205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.917210269216791,46.908467325140194]}"
17189,0.71512276,0.5940451,0.5952339,0.14205514,8.53403984E8,0.03269125,1.0,0.0,1.7053026E-13,0.034905,0.02210375,0.017085,5,0.0,0.00634625,0.00571375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.917604031518933,46.908469122411304]}"
17190,0.7774563,0.89374405,0.6799289,0.21065205,8.53403984E8,0.03423125,1.0,0.0,1.7053026E-13,0.03518,0.024675,0.01349625,5,0.0,0.0044075,0.00134125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.917997793847418,46.90847091832716]}"
17191,0.75246316,0.8996587,0.5756934,0.2619602,8.53403984E8,0.03640375,1.0,0.0,1.7053026E-13,0.04000625,0.02213125,0.0157925,5,0.0,0.00560375,9.8375E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.918391556202239,46.908472712887765]}"
17192,0.79624516,0.72410476,0.6627916,0.19364795,8.53403984E8,0.036335,1.0,0.0,1.7053026E-13,0.0438975,0.024675,0.01352375,5,0.0,0.00442125,0.00406375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.918785318583361,46.90847450609313]}"
17193,0.66398805,0.6090991,0.4610655,0.10387108,8.53403984E8,0.04305875,1.0,0.0,1.7053026E-13,0.05496625,0.02468875,0.02070125,5,0.0,0.0068,0.00571375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.91917908099076,46.90847629794324]}"
